REF_SITE_FROM_ID,REF_SITE_TO_ID,season,INJSVR,DOCTNMBR
2023852,2004247,fall,O,1
1667544,2030910,fall,O,1
2011622,1663470,summer,O,1
1662946,2034246,summer,B,1
1662946,2034246,winter,C,1
2034246,2034248,fall,O,1
2034246,2034248,spring,O,1
2034246,2034248,summer,O,2
2034246,2034248,winter,O,1
2034248,2034247,fall,O,2
2034248,2034247,spring,O,1
2034248,2034247,winter,O,3
2034247,1662946,spring,O,1
2034247,1662946,winter,O,1
1663215,2034269,fall,A,1
1663215,2034269,fall,O,4
1663215,2034269,spring,O,5
1663215,2034269,summer,C,1
1663215,2034269,summer,O,5
1663215,2034269,winter,O,3
2034269,1679706,summer,O,2
2034269,1679706,winter,C,1
2034269,1679706,winter,O,2
2034269,2034246,fall,O,2
2034269,2034246,summer,O,3
2034269,2034246,winter,C,1
2034269,2034246,winter,O,3
2034269,2041314,fall,O,1
2034269,2041314,winter,O,1
2041335,1662826,fall,O,1
2041454,2041455,summer,O,1
2041454,2041455,winter,C,1
1667517,2042887,spring,O,1
1663507,1663590,fall,B,1
10523,1661946,fall,O,1
