road,loopNum
intersection_327,l80
intersection_327,l87
intersection_327,l88
intersection_327,l90
intersection_330,l102
intersection_330,l109
intersection_330,l118
intersection_330,l137
intersection_357,l1
intersection_357,l2
intersection_357,l3
intersection_357,l4
intersection_357,l5
intersection_357,l6
intersection_357,l7
intersection_357,l8
intersection_357,l9
intersection_357,l10
intersection_357,l11
intersection_357,l12
intersection_357,l13
intersection_357,l14
intersection_357,l15
intersection_357,l16
intersection_357,l17
intersection_357,l18
intersection_357,l19
intersection_357,l20
intersection_357,l21
intersection_357,l22
intersection_357,l23
intersection_357,l24
intersection_357,l25
intersection_357,l26
intersection_357,l27
intersection_357,l28
intersection_357,l29
intersection_357,l30
intersection_357,l31
intersection_357,l32
intersection_357,l36
intersection_357,l37
intersection_357,l38
intersection_357,l46
intersection_357,l47
intersection_357,l48
intersection_357,l49
intersection_357,l50
intersection_357,l51
intersection_357,l52
intersection_357,l53
intersection_357,l54
intersection_357,l55
intersection_357,l56
intersection_357,l57
intersection_357,l58
intersection_357,l59
intersection_357,l60
intersection_357,l61
intersection_357,l62
intersection_357,l63
intersection_357,l64
intersection_357,l65
intersection_357,l66
intersection_357,l67
intersection_357,l68
intersection_357,l69
intersection_357,l70
intersection_357,l71
intersection_357,l72
intersection_357,l73
intersection_357,l74
intersection_357,l75
intersection_357,l76
intersection_357,l77
intersection_357,l78
intersection_357,l79
intersection_357,l80
intersection_357,l81
intersection_357,l82
intersection_357,l83
intersection_357,l84
intersection_357,l85
intersection_357,l86
intersection_357,l87
intersection_357,l88
intersection_357,l89
intersection_357,l90
intersection_357,l91
intersection_357,l92
intersection_357,l93
intersection_357,l94
intersection_357,l95
intersection_357,l96
intersection_357,l97
intersection_357,l98
intersection_357,l99
intersection_357,l100
intersection_357,l101
intersection_357,l102
intersection_357,l103
intersection_357,l104
intersection_357,l105
intersection_357,l106
intersection_357,l107
intersection_357,l108
intersection_357,l109
intersection_357,l110
intersection_357,l111
intersection_357,l112
intersection_357,l113
intersection_357,l114
intersection_357,l115
intersection_357,l116
intersection_357,l117
intersection_357,l118
intersection_357,l119
intersection_357,l120
intersection_357,l127
intersection_357,l128
intersection_357,l130
intersection_357,l131
intersection_357,l132
intersection_357,l133
intersection_357,l134
intersection_357,l135
intersection_357,l136
intersection_357,l137
intersection_357,l138
intersection_357,l139
intersection_357,l140
intersection_357,l141
