"roadID","lambdaLoop","loopNum"
"intersection_84","lamb1","l48"
"intersection_84","lamb1","l49"
"intersection_84","lamb1","l50"
"intersection_84","lamb1","l53"
"intersection_84","lamb1","l54"
"intersection_84","lamb1","l55"
"intersection_84","lamb1","l57"
"intersection_84","lamb1","l58"
"intersection_84","lamb1","l59"
"intersection_84","lamb1","l60"
"intersection_84","lamb1","l62"
"intersection_87","lamb1","l13"
"intersection_87","lamb1","l14"
"intersection_87","lamb1","l46"
"intersection_87","lamb1","l50"
"intersection_87","lamb1","l52"
"intersection_87","lamb1","l55"
"intersection_87","lamb1","l64"
"intersection_87","lamb1","l73"
"intersection_87","lamb1","l75"
"intersection_87","lamb1","l77"
"intersection_87","lamb1","l79"
"intersection_87","lamb1","l80"
"intersection_87","lamb1","l81"
"intersection_87","lamb1","l83"
"intersection_87","lamb1","l84"
"intersection_87","lamb1","l85"
"intersection_87","lamb1","l86"
"intersection_87","lamb1","l89"
"intersection_87","lamb1","l90"
"intersection_87","lamb1","l91"
"intersection_87","lamb1","l93"
"intersection_87","lamb2","l3"
"intersection_87","lamb2","l29"
"intersection_87","lamb2","l33"
"intersection_87","lamb2","l39"
"intersection_87","lamb2","l41"
"intersection_87","lamb2","l44"
"intersection_87","lamb2","l46"
"intersection_87","lamb2","l47"
"intersection_87","lamb2","l49"
"intersection_87","lamb2","l51"
"intersection_87","lamb2","l76"
"intersection_87","lamb2","l78"
"intersection_87","lamb2","l79"
"intersection_87","lamb2","l80"
"intersection_87","lamb2","l81"
"intersection_87","lamb2","l82"
"intersection_87","lamb2","l85"
"intersection_87","lamb2","l87"
"intersection_87","lamb2","l89"
"intersection_87","lamb2","l95"
"intersection_87","lamb2","l96"
"intersection_87","lamb2","l97"
"intersection_87","lamb2","l98"
"intersection_87","lamb2","l99"
"intersection_87","lamb2","l100"
"intersection_87","lamb3","l1"
"intersection_87","lamb3","l2"
"intersection_87","lamb3","l6"
"intersection_87","lamb3","l11"
"intersection_87","lamb3","l13"
"intersection_87","lamb3","l15"
"intersection_87","lamb3","l16"
"intersection_87","lamb3","l17"
"intersection_87","lamb3","l26"
"intersection_87","lamb3","l29"
"intersection_87","lamb3","l30"
"intersection_87","lamb3","l31"
"intersection_87","lamb3","l32"
"intersection_87","lamb3","l34"
"intersection_87","lamb3","l35"
"intersection_87","lamb3","l36"
"intersection_87","lamb3","l42"
"intersection_87","lamb3","l44"
"intersection_87","lamb3","l46"
"intersection_87","lamb3","l49"
"intersection_87","lamb3","l53"
"intersection_87","lamb3","l54"
"intersection_87","lamb3","l55"
"intersection_87","lamb3","l59"
"intersection_87","lamb3","l63"
"intersection_87","lamb3","l66"
"intersection_87","lamb3","l67"
"intersection_87","lamb3","l76"
"intersection_87","lamb3","l77"
"intersection_87","lamb3","l78"
"intersection_87","lamb3","l81"
"intersection_87","lamb3","l83"
"intersection_87","lamb3","l84"
"intersection_87","lamb3","l86"
"intersection_87","lamb3","l88"
"intersection_87","lamb3","l89"
"intersection_87","lamb3","l90"
"intersection_87","lamb3","l91"
"intersection_87","lamb3","l97"
"intersection_87","lamb3","l99"
"intersection_87","lamb4","l1"
"intersection_87","lamb4","l2"
"intersection_87","lamb4","l5"
"intersection_87","lamb4","l13"
"intersection_87","lamb4","l15"
"intersection_87","lamb4","l16"
"intersection_87","lamb4","l22"
"intersection_87","lamb4","l27"
"intersection_87","lamb4","l29"
"intersection_87","lamb4","l31"
"intersection_87","lamb4","l33"
"intersection_87","lamb4","l34"
"intersection_87","lamb4","l37"
"intersection_87","lamb4","l39"
"intersection_87","lamb4","l40"
"intersection_87","lamb4","l41"
"intersection_87","lamb4","l42"
"intersection_87","lamb4","l44"
"intersection_87","lamb4","l45"
"intersection_87","lamb4","l48"
"intersection_87","lamb4","l50"
"intersection_87","lamb4","l52"
"intersection_87","lamb4","l54"
"intersection_87","lamb4","l55"
"intersection_87","lamb4","l58"
"intersection_87","lamb4","l62"
"intersection_87","lamb4","l64"
"intersection_87","lamb4","l69"
"intersection_87","lamb4","l72"
"intersection_87","lamb4","l73"
"intersection_87","lamb4","l74"
"intersection_87","lamb4","l75"
"intersection_87","lamb4","l76"
"intersection_87","lamb4","l77"
"intersection_87","lamb4","l82"
"intersection_87","lamb4","l83"
"intersection_87","lamb4","l86"
"intersection_87","lamb4","l87"
"intersection_87","lamb4","l90"
"intersection_87","lamb4","l91"
"intersection_87","lamb4","l92"
"intersection_87","lamb4","l93"
"intersection_87","lamb4","l95"
"intersection_87","lamb4","l96"
"intersection_87","lamb4","l97"
"intersection_87","lamb4","l99"
"intersection_87","lamb4","l100"
"intersection_87","lamb5","l3"
"intersection_87","lamb5","l5"
"intersection_87","lamb5","l6"
"intersection_87","lamb5","l7"
"intersection_87","lamb5","l9"
"intersection_87","lamb5","l11"
"intersection_87","lamb5","l15"
"intersection_87","lamb5","l16"
"intersection_87","lamb5","l21"
"intersection_87","lamb5","l23"
"intersection_87","lamb5","l24"
"intersection_87","lamb5","l25"
"intersection_87","lamb5","l26"
"intersection_87","lamb5","l28"
"intersection_87","lamb5","l30"
"intersection_87","lamb5","l32"
"intersection_87","lamb5","l33"
"intersection_87","lamb5","l34"
"intersection_87","lamb5","l37"
"intersection_87","lamb5","l38"
"intersection_87","lamb5","l41"
"intersection_87","lamb5","l43"
"intersection_87","lamb5","l50"
"intersection_87","lamb5","l51"
"intersection_87","lamb5","l53"
"intersection_87","lamb5","l54"
"intersection_87","lamb5","l57"
"intersection_87","lamb5","l59"
"intersection_87","lamb5","l60"
"intersection_87","lamb5","l61"
"intersection_87","lamb5","l62"
"intersection_87","lamb5","l64"
"intersection_87","lamb5","l67"
"intersection_87","lamb5","l68"
"intersection_87","lamb5","l72"
"intersection_87","lamb5","l74"
"intersection_87","lamb5","l77"
"intersection_87","lamb5","l79"
"intersection_87","lamb5","l80"
"intersection_87","lamb5","l82"
"intersection_87","lamb5","l84"
"intersection_87","lamb5","l85"
"intersection_87","lamb5","l86"
"intersection_87","lamb5","l89"
"intersection_87","lamb5","l90"
"intersection_87","lamb5","l92"
"intersection_87","lamb5","l94"
"intersection_87","lamb5","l96"
"intersection_87","lamb5","l97"
"intersection_87","lamb5","l100"
"intersection_91","lamb1","l30"
"intersection_91","lamb1","l48"
"intersection_91","lamb2","l36"
"intersection_91","lamb2","l40"
"intersection_91","lamb2","l86"
"intersection_91","lamb3","l24"
"intersection_91","lamb3","l45"
"intersection_91","lamb4","l47"
"intersection_91","lamb4","l66"
"intersection_91","lamb5","l69"
"intersection_92","lamb3","l35"
"intersection_92","lamb4","l31"
"intersection_92","lamb4","l73"
"intersection_92","lamb4","l75"
"intersection_92","lamb4","l76"
"intersection_92","lamb5","l6"
"intersection_92","lamb5","l80"
"intersection_92","lamb5","l90"
"intersection_93","lamb2","l96"
"intersection_93","lamb3","l11"
"intersection_93","lamb3","l81"
"intersection_93","lamb4","l91"
"intersection_93","lamb5","l51"
"intersection_93","lamb5","l61"
"intersection_93","lamb5","l72"
"intersection_94","lamb2","l79"
"intersection_94","lamb2","l99"
"intersection_94","lamb3","l68"
"intersection_94","lamb3","l88"
"intersection_94","lamb4","l4"
"intersection_94","lamb4","l8"
"intersection_94","lamb4","l13"
"intersection_94","lamb4","l59"
"intersection_94","lamb4","l86"
"intersection_94","lamb5","l15"
"intersection_94","lamb5","l34"
"intersection_94","lamb5","l39"
"intersection_94","lamb5","l54"
"intersection_94","lamb5","l57"
"intersection_94","lamb5","l58"
"intersection_95","lamb2","l3"
"intersection_95","lamb2","l46"
"intersection_95","lamb2","l51"
"intersection_95","lamb2","l79"
"intersection_95","lamb2","l81"
"intersection_95","lamb2","l99"
"intersection_95","lamb3","l12"
"intersection_95","lamb3","l13"
"intersection_95","lamb3","l18"
"intersection_95","lamb3","l21"
"intersection_95","lamb3","l23"
"intersection_95","lamb3","l29"
"intersection_95","lamb3","l37"
"intersection_95","lamb3","l41"
"intersection_95","lamb3","l55"
"intersection_95","lamb3","l64"
"intersection_95","lamb3","l68"
"intersection_95","lamb3","l74"
"intersection_95","lamb3","l79"
"intersection_95","lamb3","l88"
