DOCTNMBR,REPTTYPE,CRSHDATE,NTFYHOUR,CNTYNAME,MUNINAME,MUNITYPE,LOCTYPE,ONHWY,ONHWYSYS,ONHWYDIR,ONHWYTYP,ONSTR,ATHWY,ATHWYSYS,ATHWYDIR,ATHWYTYP,ATSTR,INTDIR,INTDIS,LATDECDG,LONDECDG,CRSHTYPE,RLTNRDWY,MNRCOLL,HWYCLASS,INJSVR,TOTVEH,TOTMOT,TOTNMT,TOTINJ,TOTFATL,ALCFLAG,BIKEFLAG,BUSFLAG,CONSZONE,CMVFLAG,CYCLFLAG,DISTFLAG,DRUGFLAG,INJTRNS,MOPFLAG,PEDFLAG,SFTYFLAG,SPEEDFLAG,TEENDRVR,WISLR_LINKID,WISLR_LKOFFSET,WISLR_LK_HIST_FLAG,ONHWYSYS,POSTSPD1
1KL06SX4JW,DT4000,1/22/2019,8,DANE,MIDDLETON,C,I,14,USH,EB,,,,,,,DEMING WAY,E,0.0066,43.09675702,-89.52342148,MVIT,ON,SSS,U STH,O,2,2,0,0,0,,,,,,,,,,,,,,,5488965,35,,USH,35
1KL07SK14B,DT4000,1/22/2019,23,DANE,MIDDLETON,C,N,14,USH,WB,,,12,USH,EB,R,,,0,43.09684335,-89.51893898,TFSIGN,RTSH,NO,U STH,O,1,1,0,0,0,,,,,,,,,,,,,Y,Y,5488963,37,,USH,35
1KL080Q6N1,DT4000,1/23/2019,8,DANE,MIDDLETON,C,N,,,,,QUARRY RD,,,,,PLEASANT VIEW RD,E,0.0085,43.09353278,-89.53510167,LTPOLE,OFF,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,Y,,4830670,45,,,25
1KL06QG27T,DT4000,1/23/2019,12,DANE,MIDDLETON,C,N,M,CTH,WB,,CENTURY AVE,,,,,FRANK LLOYD WRIGHT AVE,E,0.0456,43.10595096,-89.49762082,MVIT,ON,FTS,U CITY,B,2,5,0,2,0,,,,,,,,,Y,,,,,Y,4819929,241,,CTH,30
1KL07SK14C,DT4000,1/23/2019,14,DANE,MIDDLETON,C,I,,,,,PARMENTER ST (1),MS,CTH,NB,,,,0,43.09684873,-89.51153003,OT PST,ON,NO,U CITY,O,1,1,0,0,0,,,,,,,,,,,,,,,4820423,331,,,25
1KL080Q6N3,DT4000,1/25/2019,8,DANE,MIDDLETON,C,PL,M,CTH,WB,,CENTURY AVE,,,,,PARMENTER ST,W,0.0297,43.11158435,-89.51018856,MVIT,OFF,RTS,U CITY,O,2,2,0,0,0,,,,,,,,,,,,,,Y,4840901,157,,CTH,
24L049LVP2,DT4000,1/25/2019,15,DANE,CROSS PLAINS,V,N,14,USH,WB,,,,,,,JOVINA ST,E,0.0205,43.11248181,-89.64710057,MVIT,ON,SSS,R STH,O,2,2,0,0,0,UNKN,,,,,,,UNKN,,,,,,,5314060,108,,USH,30
1KL07BZM0H,DT4000,1/26/2019,13,DANE,MIDDLETON,C,N,12,USH,WB,,,,,,,SCHNEIDER RD,S,0.054,43.12037439,-89.51471181,GR FAC,ON,NO,U STH,C,1,1,0,1,0,,,,,,,,,,,,,Y,,5539664,518,,USH,55
1KL07FFP49,DT4000,1/26/2019,16,DANE,MIDDLETON,C,I,M,CTH,WB,,CENTURY AVE,,,,,BASKERVILLE AVE,W,0.0133,43.10785807,-89.4799874,MVIT,ON,FTR,U CITY,O,2,4,0,0,0,,,,,,,,,,,,,,,5064494,908,,CTH,35
1KL07TS27L,DT4000,1/26/2019,17,DANE,MIDDLETON,C,N,12,USH,EB,,,,,,,TERRACE AVE,S,0.0752,43.09424716,-89.51884696,MVIT,ON,SSS,U STH,B,2,4,0,1,0,UNKN,,,,,,,UNKN,,,,,,,5519747,254,Y,USH,55
