,FROM,TO,CRASH
751,1668329,1667949,0
752,1667949,1667503,1
753,1668393,1668266,0
754,1666589,1666485,2
755,1666589,1666670,0
756,1666471,1665551,0
757,1664722,1664761,1
758,1664722,1665153,0
759,1663343,1664722,0
760,1664202,1663921,0
761,1663086,1663265,0
762,1663265,1663230,0
763,1663265,1663289,0
764,1662176,1662487,0
765,1662487,1662490,0
766,1662487,1663075,0
767,1663075,1663632,1
768,1663901,1664174,0
769,1661719,1661725,0
770,1661725,1661700,0
771,1661719,1661670,0
772,2008373,1661719,0
773,1661742,1661725,0
774,1661838,1661802,0
775,1661668,1661907,0
776,1663717,2024346,0
777,2024347,1663861,0
778,1664156,1663981,2
779,1664144,1664213,0
780,1663583,1664213,0
781,1663717,1663870,2
782,1663862,1663870,0
783,1663870,1664144,1
784,1663470,1663510,0
785,1663973,1663897,0
786,1663897,1663916,0
787,1664021,1663897,0
788,1663741,1663687,0
789,1663687,1663668,0
790,1663687,1663689,1
791,1663344,1663297,0
792,1663297,1663228,6
793,1663207,1663293,0
794,1663207,1663205,0
795,1663205,1663203,0
796,1663205,1663266,0
797,1662477,1662536,0
798,1662437,1662481,0
799,1662481,1662494,0
800,1662494,1662536,0
801,1662474,1662494,0
802,1662420,1662474,0
803,1662421,1662431,0
804,1662437,1662421,0
805,1662421,1662420,0
806,1662582,1662460,1
807,1662837,1662887,2
808,1661196,1661199,0
809,1661199,1661200,0
810,1661559,1661560,0
811,1661560,1661556,3
812,1662410,1662412,0
813,1662412,1662539,0
814,1662247,1662403,0
815,1662247,1662248,0
816,1662403,1662400,4
817,1662159,1661967,0
818,1662257,1662168,0
819,1662190,1662078,0
820,1662159,1662190,0
821,1662190,1662257,0
822,1662257,1662395,0
823,1662400,1662395,1
824,1662200,1662159,0
825,1662400,1662277,0
826,1662277,1662200,0
827,1662200,1662167,0
828,1662277,1662237,0
829,1663394,1663206,0
830,1664483,1664253,0
831,1665956,1665971,0
832,1665956,1666240,0
833,1665971,1666044,0
834,1665735,1666025,0
835,1666025,1666512,1
836,1665586,1665956,0
837,1665114,1665218,0
838,1665218,1665297,0
839,1665890,1665956,0
840,1665466,1665472,0
841,1665466,1665615,0
842,1665615,1665890,0
843,1665890,1665685,0
844,1666044,1666026,0
845,1666026,1666025,0
846,1666203,1666113,0
847,1666112,1666203,0
848,1666203,1666353,0
849,1666353,1666509,0
850,1666353,1666372,0
851,1666294,1666353,0
852,1666026,1666165,0
853,1665971,1665902,0
854,2304262,1666984,0
855,1666984,1666907,0
856,2304263,1667179,0
857,1667179,1667162,0
858,1666984,1667179,0
859,1667933,1668044,0
860,1667933,1668046,0
861,1667874,1667931,0
862,1668168,1668185,0
863,1668018,1668168,0
864,1668046,1667877,0
865,1667663,1667874,0
866,1667874,1667933,0
867,1667877,1667880,0
868,1667880,1668018,0
869,1667877,1667835,0
870,1665046,1665100,0
871,1663075,1662995,0
872,10492,1661921,0
873,1661921,1661874,0
874,1662064,10492,0
875,1662064,1662172,0
876,1662235,1662321,1
877,1662065,1662121,0
878,1662121,1662083,0
879,1662121,1662120,0
880,1662178,1662177,1
881,1662177,1662120,0
882,1662120,1662079,1
883,1662120,1662118,0
884,1662175,1662147,0
885,1662236,1662208,0
886,1662280,1662236,0
887,1662236,1662204,0
888,1662204,1662175,1
889,1662258,1662236,0
890,1662203,1662175,0
891,1662173,1662141,0
892,1662173,1662203,0
893,1662098,1662173,0
894,1662228,1662204,0
895,1662203,1662228,0
896,1662228,1662258,0
