WISLR_LINKID,functional_class
4840400,Urban Local
4840401,Urban Local
4840416,Urban Local
4840421,Urban Local
4840422,Urban Local
4840430,Urban Local
4840432,Urban Local
4840433,Urban Local
4840434,Urban Local
4840459,Urban Local
4840462,Urban Local
4840468,Urban Minor Arterial
4840492,Urban Local
4840494,Urban Local
4840497,Urban Local
4840515,Urban Local
4840516,Urban Local
4840517,Urban Local
4840518,Urban Local
4840522,Urban Local
4840523,Urban Minor Arterial
4840524,Urban Minor Arterial
4840525,Urban Minor Arterial
4840526,Urban Local
4840531,Urban Local
4840532,Urban Minor Arterial
4840534,Urban Local
4840535,Urban Local
4840536,Urban Minor Arterial
4840537,Urban Minor Arterial
4840547,Urban Local
4840548,Urban Local
4840552,Urban Local
4840553,Urban Local
4840554,Urban Local
4840555,Urban Local
4840556,Urban Local
4840558,Urban Local
4840563,Urban Local
4840564,Urban Local
4840570,Urban Minor Arterial
4840571,Urban Local
4840572,Urban Local
4840573,Urban Local
4840583,Urban Local
4840584,Urban Local
4840587,Urban Local
4840590,Urban Collector
4840591,Urban Collector
4840595,Urban Local
4840596,Urban Local
4840608,Urban Collector
4840610,Urban Local
4840611,Urban Collector
4840612,Urban Collector
4840615,Urban Local
4840618,Urban Local
4840626,Urban Local
4840627,Urban Local
4840629,Urban Local
4840636,Urban Local
4840637,Urban Local
4840639,Urban Local
4840640,Urban Local
4840643,Urban Local
4840644,Urban Local
4840646,Urban Local
4840648,Urban Local
4840652,Urban Local
4840657,Urban Local
4840660,Urban Local
4840661,Urban Local
4840662,Urban Other Connecting Link Principal Arterial
4840670,Urban Local
4840675,Urban Local
4840676,Urban Local
4840677,Urban Local
4840683,Urban Local
4840684,Urban Local
4840685,Urban Local
4840687,Urban Local
4840688,Urban Local
4840690,Urban Local
4840692,Urban Local
4840694,Urban Local
4840695,Urban Local
4840696,Urban Local
4840697,Urban Local
4840703,Urban Local
4840706,Urban Local
4840707,Urban Local
4840708,Urban Local
4840709,Urban Local
4840710,Urban Local
4840711,Urban Local
4840715,Urban Local
4840725,Urban Local
4840726,Urban Local
4840734,Urban Local
4840736,Urban Local
4840737,Urban Local
4840740,Urban Local
4840741,Urban Local
4840742,Urban Local
4840743,Urban Local
4840746,Urban Local
4840750,Urban Local
4840751,Urban Local
4840753,Urban Local
4840754,Rural Major Collector
4840755,Urban Local
4840756,Urban Local
4840757,Urban Local
4840758,Urban Local
4840759,Urban Local
4840760,Urban Local
4840761,Urban Minor Arterial
4840762,Urban Local
4840765,Urban Local
4840766,Urban Local
4840767,Urban Local
4840768,Urban Local
4840769,Urban Local
4840770,Urban Local
4840771,Urban Local
4840777,Urban Local
4840778,Urban Local
4840779,Urban Local
4840780,Urban Local
4840789,Urban Local
4840791,Urban Local
4840792,Urban Local
4840793,Urban Local
4840794,Urban Local
4840796,Urban Local
4840798,Urban Local
4840807,Urban Local
4840808,Urban Local
4840812,Urban Local
4840817,Urban Local
4840820,Urban Local
4840823,Urban Local
4840824,Urban Local
4840826,Urban Local
4840827,Urban Local
4840832,Urban Minor Arterial
4840833,Urban Local
4840835,Urban Local
4840836,Urban Local
4840838,Urban Local
4840839,Urban Local
4840842,Urban Local
4840843,Urban Local
4840844,Urban Collector
4840847,Urban Local
4840848,Rural Local
4840849,Rural Major Collector
4840850,Urban Collector
4840851,Urban Local
4840852,Urban Local
4840853,Urban Local
4840854,Urban Local
4840861,Urban Local
4840862,Urban Local
4840863,Urban Local
4840864,Urban Collector
4840866,Rural Local
4840868,Rural Major Collector
4840869,Urban Local
4840870,Urban Local
4840871,Urban Local
4840872,Urban Local
4840873,Urban Local
4840874,Urban Local
4840875,Urban Local
4840876,Urban Local
4840881,Urban Local
4840882,Urban Local
4840883,Urban Collector
4840888,Urban Local
4840893,Urban Other Connecting Link Principal Arterial
4840901,Urban Other Connecting Link Principal Arterial
4840905,Urban Other Connecting Link Principal Arterial
4840909,Urban Minor Arterial
4840910,Urban Minor Arterial
4840913,Urban Minor Arterial
4840914,Urban Minor Arterial
4840915,Urban Local
4840918,Urban Minor Arterial
4840919,Urban Local
4840920,Urban Minor Arterial
4840921,Urban Local
4840922,Urban Minor Arterial
4840923,Urban Minor Arterial
4840926,Urban Collector
4840930,Urban Other Connecting Link Principal Arterial
4840951,Urban Other Connecting Link Principal Arterial
4840952,Urban Local
