,FROM,TO,test
1674,1666588,1666642,0.06978415760054152
1675,1666684,1666509,0.06978415760054152
1676,1666648,1666688,0.06978415760054152
1677,1666726,1666684,0.06978415760054152
1678,1666737,1666688,0.06978415760054152
1679,1666512,1666737,0.06978415760054152
1680,1666858,1666684,0.06978415760054152
1681,1666844,1666865,0.06978415760054152
1682,1666865,1666858,0.06978415760054152
1683,1666938,1666865,0.06978415760054152
1684,1666998,1666938,0.06978415760054152
1685,1667003,1666998,0.06978415760054152
1686,1666923,1667020,0.06978415760054152
1687,1667021,1667020,0.06978415760054152
1688,1666688,1667021,0.06978415760054152
1689,1666485,1667037,0.004412649831525029
1690,1667037,1667026,0.022080319369739365
1691,1667028,1666858,0.06978415760054152
1692,1667020,1667028,0.06978415760054152
1693,1666865,1667028,0.06978415760054152
1694,1667066,1667070,0.06978415760054152
1695,1667070,1666998,0.06978415760054152
1696,1667070,1667083,0.06978415760054152
1697,1667104,1667083,0.06978415760054152
1698,1667028,1667104,0.06978415760054152
1699,1667104,1667021,0.06978415760054152
1700,1666587,1667108,0.006818461530069585
1701,1667097,1667098,0.06978415760054152
1702,1667098,1667100,0.06978415760054152
1703,1667174,1667104,0.06978415760054152
1704,1667145,1667174,0.06978415760054152
1705,1667203,1667066,0.06978415760054152
1706,1667083,1667238,0.06978415760054152
1707,1667174,1667238,0.06978415760054152
1708,1667205,1667174,0.06978415760054152
1709,1667302,1667203,0.06978415760054152
1710,1667287,1667248,0.06978415760054152
1711,1667378,1667302,0.06978415760054152
1712,1667498,1666473,0.022080319369739365
1713,1667493,1667498,0.022080319369739365
1714,1667503,1667144,0.022080319369739365
1715,1667287,1667287,0.06978415760054152
1716,1667484,1667302,0.06978415760054152
1717,1667238,1667484,0.06978415760054152
1718,1667486,1667484,0.06978415760054152
1719,1667518,1667503,0.022080319369739365
1720,1667518,1667037,0.042389621664148724
1721,1667498,1667518,0.022080319369739365
1722,1667532,1667529,0.006818461530069585
1723,1667533,1667532,0.022080319369739365
1724,1667534,1667533,0.022080319369739365
