,FROM,TO,TIME
739,1666947,1667085,58.06666666666667
740,1666480,1666321,22.866666666666667
741,1666485,1666480,96.80555555555556
742,1666490,1666349,15.833333333333334
743,1666480,1666490,40.46666666666667
744,1666494,1666699,31.666666666666668
745,1666490,1666494,30.461538461538463
746,1666494,1666498,68.63333333333334
747,1666504,1666295,24.633333333333333
748,1666512,1666504,140.8
749,1666504,1666500,56.333333333333336
750,1668086,1667949,59.833333333333336
751,1668329,1667949,95.03333333333333
752,1667949,1667503,59.84444444444444
753,1668393,1668266,58.06666666666667
754,1666589,1666485,133.325
755,1666589,1666670,19.366666666666667
756,1666471,1665551,126.73333333333333
757,1664722,1664761,9.377777777777778
758,1664722,1665153,61.6
759,1663343,1664722,234.06666666666666
760,1664202,1663921,51.03333333333333
761,1663086,1663265,33.43333333333333
762,1663265,1663230,36.96666666666667
763,1663265,1663289,5.266666666666667
764,1662176,1662487,58.06666666666667
765,1662487,1662490,31.666666666666668
766,1662487,1663075,153.13333333333333
767,1663075,1663632,141.9777777777778
768,1663901,1664174,165.43333333333334
769,1661719,1661725,10.571428571428571
770,1661725,1661700,6.0285714285714285
771,1661719,1661670,12.057142857142857
772,2008373,1661719,12.057142857142857
773,1661742,1661725,3.0285714285714285
774,1661838,1661802,9.25
775,1661668,1661907,44.875
776,1663717,2024346,21.125
777,2024347,1663861,34.325
778,1664156,1663981,34.20952380952381
779,1664144,1664213,21.125
780,1663583,1664213,70.4
781,1663717,1663870,21.125
782,1663862,1663870,23.75
783,1663870,1664144,59.833333333333336
784,1663470,1663510,2.65
785,1663973,1663897,10.55
786,1663897,1663916,9.25
787,1664021,1663897,29.05
788,1663741,1663687,10.55
789,1663687,1663668,1.325
790,1663687,1663689,16.88
791,1663344,1663297,5.275
792,1663297,1663228,19.0
793,1663207,1663293,10.55
794,1663207,1663205,7.925
795,1663205,1663203,15.85
796,1663205,1663266,6.6
797,1662477,1662536,9.25
798,1662437,1662481,9.25
799,1662481,1662494,2.65
800,1662494,1662536,13.2
801,1662474,1662494,2.65
802,1662420,1662474,10.55
803,1662421,1662431,3.95
804,1662437,1662421,5.275
805,1662421,1662420,13.2
806,1662582,1662460,27.44
807,1662837,1662887,36.19047619047619
808,1661196,1661199,203.65714285714284
809,1661199,1661200,24.142857142857142
810,1661559,1661560,22.62857142857143
811,1661560,1661556,21.7875
812,1662410,1662412,7.925
813,1662412,1662539,19.8
814,1662247,1662403,17.15
815,1662247,1662248,18.475
816,1662403,1662400,50.15
817,1662159,1661967,30.35
818,1662257,1662168,30.35
819,1662190,1662078,25.075
820,1662159,1662190,18.475
821,1662190,1662257,9.25
822,1662257,1662395,13.2
823,1662400,1662395,36.2
824,1662200,1662159,7.925
825,1662400,1662277,15.85
826,1662277,1662200,15.85
827,1662200,1662167,9.25
828,1662277,1662237,10.55
829,1663394,1663206,23.466666666666665
830,1664483,1664253,22.288888888888888
831,1665956,1665971,3.533333333333333
832,1665956,1666240,45.766666666666666
833,1665971,1666044,33.43333333333333
834,1665735,1666025,38.733333333333334
835,1666025,1666512,60.34285714285714
836,1665586,1665956,47.53333333333333
837,1665114,1665218,10.566666666666666
838,1665218,1665297,12.333333333333334
839,1665890,1665956,15.833333333333334
840,1665466,1665472,10.566666666666666
841,1665466,1665615,17.6
842,1665615,1665890,40.46666666666667
843,1665890,1665685,26.4
844,1666044,1666026,28.166666666666668
845,1666026,1666025,12.333333333333334
846,1666203,1666113,52.8
847,1666112,1666203,14.066666666666666
848,1666203,1666353,29.933333333333334
849,1666353,1666509,21.133333333333333
850,1666353,1666372,15.833333333333334
