RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,RDWY_LINK_RSLN
4820198,1663072,1663081,792,52.7999992
4820200,1663081,1663078,317,52.7999992
4820201,1663083,1663072,370,52.7999992
4820202,1662933,1663090,898,52.7999992
4820203,1663090,1663083,317,52.7999992
4820204,1663059,1663090,1373,52.7999992
4820211,1663106,1663014,422,52.7999992
4820246,1663081,1663133,317,52.7999992
4820247,1663139,1663076,370,52.7999992
4820251,1663144,1663139,634,52.7999992
4820252,1663079,1663144,370,52.7999992
4820254,1663078,1663143,317,52.7999992
4820255,1663139,1663143,1003,52.7999992
4820256,1663149,1663144,686,52.7999992
4820257,1663079,1663149,1003,52.7999992
4820262,1663133,1663151,158,52.7999992
4820265,1663160,1663012,686,52.7999992
4820266,1663164,1663160,317,52.7999992
4820267,1663164,1663106,317,52.7999992
4820272,1663126,1663162,211,52.7999992
4820273,1663133,1663162,158,52.7999992
4820275,1663180,1662964,1954,52.7999992
4820306,1663210,1662899,1637,52.7999992
4820310,1663212,1663210,1214,52.7999992
4820315,1663203,1663139,317,52.7999992
4820317,1663203,1663208,686,52.7999992
4820318,1663144,1663208,317,52.7999992
4820319,1663143,1663207,264,52.7999992
4820326,1663208,1663218,739,52.7999992
4820327,1663149,1663218,317,52.7999992
4820328,1663218,1663224,422,52.7999992
4820329,1663160,1663224,792,52.7999992
4820330,1663162,1663216,317,52.7999992
4820331,1663216,1663207,739,52.7999992
4820333,1663224,1663227,528,52.7999992
4820334,1663227,1663160,317,52.7999992
4820336,1663227,1663229,264,52.7999992
4820337,1663229,1663164,317,52.7999992
4820348,1663228,1663072,792,52.7999992
4820349,1663216,1663228,264,52.7999992
4820375,10668,1663062,1742,52.7999992
4820383,1662430,1663343,5174,52.7999992
4820399,1663291,1663203,475,52.7999992
4820400,1663308,1663180,686,52.7999992
4820402,1663294,1663291,686,52.7999992
4820403,1663208,1663294,475,52.7999992
4820404,1663291,1663292,739,52.7999992
4820405,1663292,1663293,264,52.7999992
4820406,1663294,1663299,686,52.7999992
4820407,1663218,1663299,475,52.7999992
4820410,1663299,1663301,475,52.7999992
4820411,1663224,1663301,422,52.7999992
4820419,1663366,10668,211,52.7999992
4820422,1663301,1663314,898,52.7999992
4820423,1663314,1663229,475,52.7999992
4820426,1663314,1663319,317,52.7999992
4820427,1663319,15381,370,52.7999992
4820452,1663276,1663358,264,52.7999992
4820463,1663059,1663352,1584,52.7999992
4820464,1663351,1663352,686,52.7999992
4820467,1663361,1663351,1267,52.7999992
4820471,1663352,1663355,581,52.7999992
4820472,1663378,1663308,317,52.7999992
4820477,1663372,1663291,317,52.7999992
4820480,1663361,1663374,475,52.7999992
4820481,1663344,1663374,211,52.7999992
4820484,1663375,1663292,370,52.7999992
4820485,1663375,1663372,739,52.7999992
4820487,1663372,1663377,1320,52.7999992
4820488,1663299,1663377,370,52.7999992
4820491,1663377,1663383,475,52.7999992
4820492,1663301,1663383,370,52.7999992
4820493,1663383,1663390,845,52.7999992
4820494,1663390,1663314,264,52.7999992
4820497,1663390,1663395,317,52.7999992
4820498,1663319,1663395,317,52.7999992
4820533,1663422,1663390,158,52.7999992
4820534,1663395,1663422,422,52.7999992
4820543,1663374,1663430,422,52.7999992
4820545,10691,10695,3432,52.7999992
4820548,1663438,1663361,475,52.7999992
4820550,1663439,1663351,475,52.7999992
4820551,1663439,1663438,950,52.7999992
