RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,LOC_FLKOS_FT,LOC_TLKOS_FT,ST_PRMY_SYMB_TY,FNCT_CLS_CTGY_TYCD,FNCT_CLS_CTGY_TYDC
4820329,1663160,1663224,792,0,528,,97,Urban Local
4820329,1663160,1663224,792,528,792,,97,Urban Local
4820330,1663162,1663216,317,0,317,,97,Urban Local
4820331,1663216,1663207,739,0,739,,97,Urban Local
4820333,1663224,1663227,528,0,528,,97,Urban Local
4820334,1663227,1663160,317,0,317,,97,Urban Local
4820336,1663227,1663229,264,0,264,,97,Urban Local
4820337,1663229,1663164,317,0,317,,86,Urban Minor Arterial
4820348,1663228,1663072,792,0,792,,96,Urban Collector
4820349,1663216,1663228,264,0,264,,97,Urban Local
4820375,10668,1663062,1742,0,1742,,45,Rural Local
4820383,1662430,1663343,5174,0,53,CTH,20,Rural Minor Arterial
4820383,1662430,1663343,5174,53,158,CTH,20,Rural Minor Arterial
4820383,1662430,1663343,5174,158,5174,CTH,20,Rural Minor Arterial
4820399,1663291,1663203,475,0,475,,97,Urban Local
4820400,1663308,1663180,686,0,686,,97,Urban Local
4820402,1663294,1663291,686,0,317,,60,Urban Other Connecting Link Principal Arterial
4820402,1663294,1663291,686,317,686,,60,Urban Other Connecting Link Principal Arterial
4820403,1663208,1663294,475,0,475,,96,Urban Collector
4820404,1663291,1663292,739,0,422,,60,Urban Other Connecting Link Principal Arterial
